week,spend_paid_search_google,contrib_paid_search_google,spend_social_media_meta_ads,contrib_social_media_meta_ads,spend_social_media_youtube_ads,contrib_social_media_youtube_ads,spend_affiliate_marketing,contrib_affiliate_marketing,spend_email_marketing,contrib_email_marketing,spend_e-commerce_company_site,contrib_e-commerce_company_site,spend_call_center,contrib_call_center,seasonality_index,trend,price_hike_flag,new_subscribers
2023-01-02,424377.3663803545,6406.461368951577,284646.7623993086,4104.871988049661,247310.85798427495,3635.3623490742148,163598.3631541948,11655.04702169808,60892.17496710792,14390.230046647,146044.76681220054,7477.26669552146,87067.04440099894,14104.26937318904,1.1400000000000001,1.0,0,66903
2023-01-09,316801.27150076034,6065.463828743242,335619.3709492659,4641.271388504637,279952.5935579513,4270.888420202927,130974.82896845747,11284.778635780956,63276.861322676916,14768.18258711528,148930.6520499904,7871.493962838524,71998.21479252914,13533.54729359143,1.172941158645275,1.003,0,67758
2023-01-16,460036.09566451656,6574.482600937813,283498.4561562593,4605.547974021865,354954.1525413608,4644.831584992996,140699.70441992648,11475.129147958856,49308.6206527386,13724.015093705038,226752.45177120814,8802.66979128,73825.42516675686,13607.631685611173,1.200940394454931,1.006,0,69699
2023-01-23,475245.1773112971,6638.43717540599,326267.68468696065,4726.150678485793,220416.43693562614,4604.170053535794,112585.7261616323,10777.932904704678,63535.85889569397,14757.99706916388,173302.9604656729,8387.449456885095,100439.63959705012,14851.587034596016,1.2230513733286215,1.009,0,70943
2023-01-30,243917.1849076931,5706.961971256586,408821.5696220177,4967.652465187483,301837.889555665,4710.765891145718,121663.64539648012,10954.918063888872,50921.266584341094,13863.1284256575,229133.7487223295,8877.022307091916,64391.20921231351,13119.315164587411,1.2385855388536886,1.012,0,68741
2023-02-06,295825.6394510146,5927.872060435888,229087.5703765356,4546.851142334853,270949.8339999853,4724.300981382208,102564.40441749308,10409.921397855085,41626.01776172538,12913.961832910389,164511.25008377357,8300.67212327722,43808.29503605765,11306.904769202842,1.2471434310687195,1.015,0,64366
2023-02-13,410227.23225338286,6410.971964421977,380409.65504821,4858.471768078141,280339.6143382824,4745.721181878281,144739.59836487132,11495.701379216516,44055.99647801265,13118.33923134604,230926.5951694749,8882.744992661836,104164.05492517841,14934.988954465813,1.2486305619503062,1.018,0,70942
2023-02-20,374700.5926125134,6304.497576883364,366641.4921632595,4903.124681364638,360165.4695182762,4861.298734986985,90542.40942212836,10077.572116834152,35194.63487434984,12101.944709514186,184602.00358819083,8525.148589987362,118239.91928910505,15506.391033803622,1.2432570320263956,1.021,0,68706
2023-02-27,398655.9073996569,6385.90391276283,308409.50310122437,4765.91761400306,332286.9262202356,4891.033963146156,139558.75856044152,11353.000062007291,41118.66146266348,12765.921693350547,189038.00881629434,8512.400431350386,73920.96101826002,13744.297966437382,1.2315209960634417,1.024,0,69113
2023-03-06,331756.4857941136,6130.35787487917,248775.95019280817,4531.644622893683,380243.88644656463,4959.662156364598,115233.72356237101,10838.234532243463,46419.83311925571,13348.226631231451,234765.13075844664,8939.354655882791,50947.429390697216,12023.128623740287,1.2141770017956681,1.027,0,67409
